pattern  missing_frac  noise_std stratum              method  n_points          mse       nll    cov90    cov95     mean_std   sigma2_obs  sigma2_hat
 bursty           0.3       0.10  d21_50    unhippo_zoh_best     181.0 2.492468e-01 10.972520 1.000000 1.000000 2.396990e+04 1.000000e+11         NaN
 bursty           0.3       0.10    d50p         legs_linear     167.0 7.715684e-01       NaN      NaN      NaN          NaN          NaN         NaN
 bursty           0.3       0.10    d50p            legs_zoh     167.0 1.268365e+00       NaN      NaN      NaN          NaN          NaN         NaN
 bursty           0.3       0.10    d50p                srif     167.0 7.970139e-01  1.317825 0.983019 0.997170 1.300317e+00          NaN    0.010218
 bursty           0.3       0.10    d50p           srif_flat     167.0 3.605876e+00  2.302116 0.938776 1.000000 4.583814e+00          NaN    0.010218
 bursty           0.3       0.10    d50p    srif_transported     167.0 2.559491e+11  8.498890 0.865306 0.865306 2.991670e+05          NaN    0.010218
 bursty           0.3       0.10    d50p unhippo_linear_best     167.0 7.632725e-01  9.222314 1.000000 1.000000 4.112535e+03 1.000000e+09         NaN
 bursty           0.3       0.10    d50p unhippo_native_best     167.0 2.265565e+15 18.863790 1.000000 1.000000 5.412483e+13 1.000000e+13         NaN
 bursty           0.3       0.10    d50p    unhippo_zoh_best     167.0 1.094599e+00 11.004242 1.000000 1.000000 2.460289e+04 1.000000e+11         NaN
 bursty           0.3       0.25     all         legs_linear    1000.0 1.818465e-01       NaN      NaN      NaN          NaN          NaN         NaN
 bursty           0.3       0.25     all            legs_zoh    1000.0 4.699995e-01       NaN      NaN      NaN          NaN          NaN         NaN
 bursty           0.3       0.25     all                srif    1000.0 2.511788e-01 -0.404578 0.911800 0.958200 4.722946e-01          NaN    0.063307
 bursty           0.3       0.25     all           srif_flat    1000.0 7.359946e-01  0.001177 0.911300 0.965200 1.523685e+00          NaN    0.063307
 bursty           0.3       0.25     all    srif_transported    1000.0 9.305835e+10  2.072384 0.871900 0.921300 8.934870e+04          NaN    0.063307
 bursty           0.3       0.25     all unhippo_linear_best    1000.0 1.802947e-01  9.192816 1.000000 1.000000 3.999603e+03 1.000000e+09         NaN
 bursty           0.3       0.25     all unhippo_native_best    1000.0 4.725777e+14 14.010530 1.000000 1.000000 1.095386e+13 1.000000e+13         NaN
 bursty           0.3       0.25     all    unhippo_zoh_best    1000.0 3.902438e-01 10.049654 1.000000 1.000000 9.469061e+03 1.000000e+10         NaN
 bursty           0.3       0.25  d21_50         legs_linear     181.0 9.664994e-02       NaN      NaN      NaN          NaN          NaN         NaN
 bursty           0.3       0.25  d21_50            legs_zoh     181.0 7.116046e-01       NaN      NaN      NaN          NaN          NaN         NaN
 bursty           0.3       0.25  d21_50                srif     181.0 3.275434e-01  0.907846 0.893445 0.971541 7.969177e-01          NaN    0.063307
 bursty           0.3       0.25  d21_50           srif_flat     181.0 1.140606e+00  1.600881 0.910560 1.000000 2.393775e+00          NaN    0.063307
 bursty           0.3       0.25  d21_50    srif_transported     181.0 1.213470e+08  4.854835 0.793361 0.854398 4.446123e+03          NaN    0.063307
 bursty           0.3       0.25  d21_50 unhippo_linear_best     181.0 8.546174e-02  9.229122 1.000000 1.000000 4.172614e+03 1.000000e+09         NaN
 bursty           0.3       0.25  d21_50 unhippo_native_best     181.0 1.864995e+02 13.490664 1.000000 1.000000 1.748351e+07 1.000000e+13         NaN
 bursty           0.3       0.25  d21_50    unhippo_zoh_best     181.0 2.802483e-01 10.972520 1.000000 1.000000 2.396990e+04 1.000000e+11         NaN
 bursty           0.3       0.25    d50p         legs_linear     167.0 8.376216e-01       NaN      NaN      NaN          NaN          NaN         NaN
 bursty           0.3       0.25    d50p            legs_zoh     167.0 1.388558e+00       NaN      NaN      NaN          NaN          NaN         NaN
 bursty           0.3       0.25    d50p                srif     167.0 9.088931e-01  1.423551 0.976415 0.996698 1.380475e+00          NaN    0.063307
 bursty           0.3       0.25    d50p           srif_flat     167.0 3.117479e+00  2.488018 0.960204 1.000000 4.969261e+00          NaN    0.063307
 bursty           0.3       0.25    d50p    srif_transported     167.0 9.035067e+11  9.301639 0.865306 0.865306 4.975599e+05          NaN    0.063307
 bursty           0.3       0.25    d50p unhippo_linear_best     167.0 8.325305e-01  9.222314 1.000000 1.000000 4.112535e+03 1.000000e+09         NaN
 bursty           0.3       0.25    d50p unhippo_native_best     167.0 2.237759e+15 18.863790 1.000000 1.000000 5.412483e+13 1.000000e+13         NaN
 bursty           0.3       0.25    d50p    unhippo_zoh_best     167.0 1.162528e+00 11.004242 1.000000 1.000000 2.460289e+04 1.000000e+11         NaN
 bursty           0.5       0.10     all         legs_linear    1000.0 1.673484e-01       NaN      NaN      NaN          NaN          NaN         NaN
 bursty           0.5       0.10     all            legs_zoh    1000.0 5.098249e-01       NaN      NaN      NaN          NaN          NaN         NaN
 bursty           0.5       0.10     all                srif    1000.0 2.408782e-01 -0.647364 0.923900 0.959700 4.697565e-01          NaN    0.010527
 bursty           0.5       0.10     all           srif_flat    1000.0 6.435866e-01 -0.142210 0.919800 0.949100 1.527717e+00          NaN    0.010527
 bursty           0.5       0.10     all    srif_transported    1000.0 2.264435e+09  1.856965 0.894400 0.953100 3.791806e+04          NaN    0.010527
 bursty           0.5       0.10     all unhippo_linear_best    1000.0 1.690855e-01  9.192816 1.000000 1.000000 3.999603e+03 1.000000e+09         NaN
 bursty           0.5       0.10     all unhippo_native_best    1000.0 5.711567e+13 13.960916 1.000000 1.000000 7.198313e+12 1.000000e+13         NaN
 bursty           0.5       0.10     all    unhippo_zoh_best    1000.0 4.277656e-01 10.049654 1.000000 1.000000 9.469061e+03 1.000000e+10         NaN
 bursty           0.5       0.10  d21_50         legs_linear     207.2 5.451316e-02       NaN      NaN      NaN          NaN          NaN         NaN
 bursty           0.5       0.10  d21_50            legs_zoh     207.2 6.602622e-01       NaN      NaN      NaN          NaN          NaN         NaN
 bursty           0.5       0.10  d21_50                srif     207.2 2.315914e-01  0.510281 0.905685 0.942345 6.198310e-01          NaN    0.010527
 bursty           0.5       0.10  d21_50           srif_flat     207.2 6.454619e-01  1.228019 0.917268 0.919481 1.795407e+00          NaN    0.010527
